The Italian Homemade Company,,Lasagna,Pappardelle Pasta,Meat Ravioli,Gnocchi Roll,Tagliatelle Pasta,Mozzarella Salad,Burrata Salad,Fettuccine Pasta,Tortellini Pasta,1919 Union StSan Francisco CA 94123,(415) 655-9325    ,Mon  11:00 am - 9:30 pm|  Tue  11:00 am - 10:00 pm|  Wed  11:00 am - 10:00 pm|  Thu  11:00 am - 10:00 pm|  Fri  11:00 am - 10:00 pm|  Sat  11:00 am - 10:00 pm|  Sun  11:00 am - 10:00 pm   |
Kokkari Estiatorio,Zucchini Cakes,Grilled Octopus,Horta,Moussaka,Grilled Lamb Chops,Whole Fish,Ravioli,Greek Salad,Saghanaki,Baked Feta,200 Jackson StSan Francisco CA 94111,(415) 981-0983    ,Mon  11:30 am - 2:30 pm5:30 pm - 10:00 pm|  Tue  11:30 am - 2:30 pm5:30 pm - 10:00 pm|  Wed  11:30 am - 2:30 pm5:30 pm - 10:00 pm|  Thu  11:30 am - 2:30 pm5:30 pm - 10:00 pm|  Fri  11:30 am - 2:30 pm5:30 pm - 11:00 pm|  Sat  5:00 pm - 11:00 pm|  Sun  5:00 pm - 10:00 pm   |
Suppenkuche,Potato Pancakes,Meatloaf,Potato Soup,Grilled Pork Sausage,German Ravioli,Pickled Herring,Lentil Soup,Grilled Cured Pork Chop,Portobella Mushroom,Marinated And Braised Beef,525 Laguna StSan Francisco CA 94102,(415) 252-9289    ,
Stones Throw,Puffed Potato & Egg,Da Burga,Smoked Salmon Mousse,Brown Butter Crepess,Roasted Corn & Duck Confit Hash,Brokaw Avocado & Burrata Salad,Brioche Pain Perdu,Bottle of 'Mimosa' Your Way,Pitcher of Pimm's,Vanilla-Sugar Doughnuts,1896 Hyde StSan Francisco CA 94109,(415) 796-2901    ,Mon|  Closed|  Tue  5:00 pm - 10:30 pm|  Wed  5:00 pm - 10:30 pm|  Thu  5:00 pm - 10:30 pm|  Fri  5:00 pm - 11:00 pm|  Sat  5:00 pm - 11:00 pm|  Sun  11:00 am - 2:00 pm5:00 pm - 10:00 pm   |
Zazie,Mashed potatoes,Mussels Marinires,Sauted spinach,D.D.'s Mac and Cheese,Zazie Niman Ranch Burger,Fish Soup Provenale,Salade Louis Malle,Boeuf Bourgignone,Tuscan kale,Small green salad,941 Cole StSan Francisco CA 94117,(415) 564-5332    ,Mon  8:00 am - 2:00 pm5:00 pm - 9:30 pm|  Tue  8:00 am - 2:00 pm5:00 pm - 9:30 pm|  Wed  8:00 am - 2:00 pm5:00 pm - 9:30 pm|  Thu  8:00 am - 2:00 pm5:00 pm - 9:30 pm|  Fri  8:00 am - 2:00 pm5:00 pm - 10:00 pm|  Sat  9:00 am - 3:00 pm5:00 pm - 10:00 pm|  Sun  9:00 am - 3:00 pm5:00 pm - 9:30 pm   |
Sotto Mare,,Risotto,The Best Damn Crab Cioppino,Grilled Sand Dabs,House Tomato Sauce,Oyster Shooter,Smoked Salmon,Crecked Crab,Boston Clam Chowder,Clam Steamers,552 Green StSan Francisco CA 94133,(415) 398-3181    ,Mon  11:30 am - 9:30 pm|  Tue  11:30 am - 9:30 pm|  Wed  11:30 am - 9:30 pm|  Thu  11:30 am - 9:30 pm|  Fri  11:30 am - 9:30 pm|  Sat  11:30 am - 9:30 pm|  Sun|  Closed|  
Lavash,Koobideh,Barg,Bademjan,Joojeh,Fesenjan,Bastani,Dolma,Shishlik,Sabzi Panir,Choclava,511 Irving StSan Francisco CA 94122,(415) 664-5555    ,Mon|  Closed|  Tue  11:30 am - 3:00 pm5:00 pm - 10:00 pm|  Wed  11:30 am - 3:00 pm5:00 pm - 10:00 pm|  Thu  11:30 am - 3:00 pm5:00 pm - 10:00 pm|  Fri  11:30 am - 3:00 pm5:00 pm - 10:00 pm|  Sat  11:30 am - 10:00 pm|  Sun  11:30 am - 9:00 pm   |
The Little Chihuahua,Carne Asada,Wild Mushrooms,Carnitas,Beans,Cheese,Tofu,Garlic Shrimp Burrito,Super Baby,Super Burrito,Baby Burrito,292 Divisadero StSan Francisco CA 94117,(415) 255-8225    ,Mon  11:00 am - 11:00 pm|  Tue  11:00 am - 11:00 pm|  Wed  11:00 am - 11:00 pm|  Thu  11:00 am - 11:00 pm|  Fri  11:00 am - 11:00 pm|  Sat  10:00 am - 11:00 pm|  Sun  10:00 am - 11:00 pm   |
Chapeau!,Salade Landaise,Porcini Crusted Veal Sweetbreads,Traditional Onion Soup,Parsley & Garlic,Fourme dAmbert Tart,Oyster on the Half Shell,Trou Normand or Colonel,Trio of Salmon,Traditional Escargots de Bourgogne in Butter,Terrine de Foie de Volaille,126 Clement StSan Francisco CA 94118,(415) 750-9787    ,Mon|  Closed|  Tue|  Closed|  Wed  5:00 pm - 10:00 pm|  Thu  5:00 pm - 10:00 pm|  Fri  5:00 pm - 10:00 pm|  Sat  5:00 pm - 10:30 pm|  Sun  5:00 pm - 10:00 pm   |
Long Bridge Pizza,Loading Dock,Sausage,Margherita,Cheese,Mushroom,White Pie,Pepperoni,Water,Bottle Drinks,Can Soda,2347 3rd StSan Francisco CA 94107,(415) 829-8999    ,Mon  11:00 am - 3:00 pm5:00 pm - 9:00 pm|  Tue  11:00 am - 3:00 pm5:00 pm - 9:00 pm|  Wed  11:00 am - 3:00 pm5:00 pm - 9:00 pm|  Thu  11:00 am - 3:00 pm5:00 pm - 9:00 pm|  Fri  11:00 am - 3:00 pm5:00 pm - 9:00 pm|  Sat  12:00 pm - 9:00 pm|  Sun  12:00 pm - 9:00 pm   |
Limon Rotisserie,Yuca fries,Pollo,Ceviche Mixto,Veggie,Arroz,Carne,Whole Chicken,Ensalada,Queso,Jalea,1001 S Van Ness AveSan Francisco CA 94110,(415) 821-2134    ,Mon  12:00 pm - 10:00 pm|  Tue  12:00 pm - 10:00 pm|  Wed  12:00 pm - 10:00 pm|  Thu  12:00 pm - 10:00 pm|  Fri  12:00 pm - 10:30 pm|  Sat  12:00 pm - 10:30 pm|  Sun  12:00 pm - 10:00 pm   |
Chez Maman West,Veal,French onion soup,Salmon,Complte,Pork Chop,Beef Tartare,Mariniere,Thai,Smoked Salmon,Basic Burger,401 Gough StSan Francisco CA 94102,(415) 355-9067    ,Mon  11:30 am - 10:45 pm|  Tue  11:30 am - 10:45 pm|  Wed  11:30 am - 10:45 pm|  Thu  11:30 am - 10:45 pm|  Fri  11:30 am - 10:45 pm|  Sat  10:30 am - 10:45 pm|  Sun  10:30 am - 10:45 pm   |
Burma Superstar,Tea Leaf Salad,Coconut Rice,Rainbow Salad,Burmese Style Curry,Chili Lamb,Platha,Garlic Noodles,Pumpkin Pork Stew,Vegetarian Samusa Soup,Nan Gyi Dok,309 Clement StSan Francisco CA 94118,(415) 387-2147    ,Mon  11:30 am - 3:00 pm5:00 pm - 9:30 pm|  Tue  11:30 am - 3:00 pm5:00 pm - 9:30 pm|  Wed  11:30 am - 3:00 pm5:00 pm - 9:30 pm|  Thu  11:30 am - 3:00 pm5:00 pm - 9:30 pm|  Fri  11:30 am - 3:00 pm5:00 pm - 10:00 pm|  Sat  11:30 am - 3:00 pm5:00 pm - 10:00 pm|  Sun  11:30 am - 3:00 pm5:00 pm - 9:30 pm   |
Causwells,Deviled Eggs,Kale Salad,House Made Ricotta,Grilled Chicken Sandwich,Stewed Pork,-,-,-,-,-,2346 Chestnut StSan Francisco CA 94123,(415) 447-6081    ,Mon  11:30 am - 11:00 pm|  Tue  11:30 am - 11:00 pm|  Wed  11:30 am - 11:00 pm|  Thu  11:30 am - 12:00 am|  Fri  11:30 am - 12:00 am|  Sat  9:00 am - 12:00 am|  Sun  9:00 am - 11:00 pm   |
Old Jerusalem Restaurant,Hummus,Falafel,Ful,Kunafa,Tea,Shawerma,Lentil Soup,Combination Plate,Falafel Sandwich,Shish Taouk,2976 Mission StSan Francisco CA 94110,(415) 642-5958    ,Mon|  Closed|  Tue  12:00 pm - 10:00 pm|  Wed  12:00 pm - 10:00 pm|  Thu  12:00 pm - 10:00 pm|  Fri  12:00 pm - 10:00 pm|  Sat  12:00 pm - 10:00 pm|  Sun  12:00 pm - 9:00 pm   |
Brendas French Soul Food,Grits,Crawfish Beignets,Oyster,Beignet Flight,Orleans,Sausage,Shrimp & Grits,Three Chocolate Beignets,Chicken,Catfish Po'boy,652 Polk StSan Francisco CA 94102,(415) 345-8100    ,Mon  8:00 am - 3:00 pm|  Tue  8:00 am - 3:00 pm|  Wed  8:00 am - 10:00 pm|  Thu  8:00 am - 10:00 pm|  Fri  8:00 am - 10:00 pm|  Sat  8:00 am - 10:00 pm|  Sun  8:00 am - 8:00 pm   |
Frisco Fried,Wing,Rice,Waffles,Frisco Fries,Greens,Thigh,Cornbread,Garlic Noodles,Catfish,Yams,5176 3rd StSan Francisco CA 94124,(415) 822-1517    ,Mon  11:00 am - 7:00 pm|  Tue  11:00 am - 7:00 pm|  Wed  11:00 am - 7:00 pm|  Thu  11:00 am - 7:00 pm|  Fri  11:00 am - 9:00 pm|  Sat  12:00 pm - 9:00 pm|  Sun  12:00 pm - 7:00 pm   |
Gary Danko,Risotto,Baked Chocolate Souffl,Roast Maine Lobster,Glazed Oysters,Seared Sea Scallops,Dungeness Crab Salad,Lobster Salad,Seared Ahi Tuna,Lemon Pepper Duck Breast,Branzini,800 N Point StSan Francisco CA 94109,(415) 749-2060    ,Mon  5:30 pm - 10:00 pm|  Tue  5:30 pm - 10:00 pm|  Wed  5:30 pm - 10:00 pm|  Thu  5:30 pm - 10:00 pm|  Fri  5:30 pm - 10:00 pm|  Sat  5:30 pm - 10:00 pm|  Sun  5:30 pm - 10:00 pm   |
KUSAKABE,Toro,Uni,Soup,Wagyu,Zuke,Kisu,Zuke Chutoro,Kaisui Uni,Sushi Finale,Hassun,584 Washington StSan Francisco CA 94111,(415) 757-0155    ,Mon  5:00 pm - 8:30 pm|  Tue  5:00 pm - 8:30 pm|  Wed  5:00 pm - 8:30 pm|  Thu  5:00 pm - 8:30 pm|  Fri  5:00 pm - 8:30 pm|  Sat  5:00 pm - 8:30 pm|  Sun|  Closed|  
Tadu Ethiopian Kitchen,,Lamb Tibs,Sambussa,Entrees,Beef Tibs,Side Dishes,Gomen,Vegetarian Combination,Shiro Wot,Special Kitfo,484 Ellis StSan Francisco CA 94102,(415) 409-6649    ,Mon  11:30 am - 9:00 pm|  Tue  11:30 am - 9:00 pm|  Wed  11:30 am - 9:00 pm|  Thu  11:30 am - 9:00 pm|  Fri  11:30 am - 9:00 pm|  Sat  11:30 am - 9:00 pm|  Sun  11:30 am - 9:00 pm   |
